source_ip,destination_ip,protocol,bytes_sent,bytes_received,timestamp
133.204.169.68/8,104.148.184.32/17,RTP,13420,8941,1728259200000
33.174.211.123/17,242.89.133.89/3,HSRP,3053,7683,1728259200000
161.65.39.165/10,216.249.5.23/4,HTTP,2473,17,1728259200000
44.134.186.238/17,102.244.207.223/18,SMTP,6197,8501,1728259200000
217.242.120.112/23,72.249.162.65/2,PPP,639,4766,1728259200000
220.90.189.68/8,51.9.37.250/28,LDAP,4438,10609,1728259200000
104.104.191.150/2,104.15.197.254/9,RIP,10896,1171,1728259200000
113.173.103.134/28,75.200.41.95/10,CIFS,14505,630,1728259200000
228.224.227.71/11,222.36.232.205/30,IGMP,2544,10203,1728259200000
88.225.230.241/22,159.178.128.80/18,TCP,5633,9830,1728259200000
24.100.173.245/14,202.2.87.177/22,DHCP,8899,9061,1728259200000
32.43.239.26/1,95.222.112.183/24,ESP,9627,9341,1728259200000
114.68.97.191/22,119.60.228.250/24,SMTP,10128,14559,1728259200000
198.46.199.234/26,100.132.21.89/8,GRE,12845,12131,1728259200000
29.16.5.76/16,241.197.193.11/25,L2TP,14843,4757,1728259200000
64.49.172.213/20,155.19.162.14/18,PPP,14243,13847,1728259200000
125.32.200.89/18,59.85.102.2/15,RSVP,6561,3988,1728259200000
242.29.71.49/24,66.23.130.249/25,RDP,14846,11894,1728259200000
188.64.243.49/19,101.18.67.47/20,BGP,10631,11125,1728259200000
36.89.207.163/24,51.32.246.20/12,SIP,7478,5724,1728259200000
78.161.31.7/5,74.246.7.206/23,RIP,7140,7200,1728259200000
204.131.60.94/30,108.171.133.249/16,IS-IS,5182,2157,1728259200000
67.232.211.130/20,77.89.165.230/31,RTSP,1990,7499,1728259200000
3.206.25.167/29,202.18.228.198/12,LLDP,9454,11327,1728259200000
92.60.165.78/20,58.169.236.174/25,DHCP,7605,9311,1728259200000
94.198.230.181/23,115.236.228.13/7,AH,1040,95,1728259200000
11.176.149.199/14,159.151.8.151/12,GRE,12293,12103,1728259200000
219.70.113.203/24,10.41.11.113/21,LLDP,201,4101,1728259200000
7.188.125.86/13,100.230.98.153/15,RTSP,14196,9482,1728259200000
2.20.235.54/30,95.180.202.22/6,HDLC,2706,3054,1728259200000
41.4.53.185/11,89.43.230.114/20,VRRP,4866,13856,1728259200000
42.245.48.20/9,131.137.60.3/21,DNS,1683,7738,1728259200000
149.72.93.201/22,208.161.38.119/16,DNS,3791,7658,1728259200000
168.155.179.29/28,110.157.247.240/18,AH,8574,1941,1728259200000
56.64.132.239/10,169.151.29.37/11,BGP,8995,10023,1728259200000
217.183.200.118/10,249.158.37.217/17,PPP,2575,11822,1728259200000
100.84.221.182/2,56.128.91.113/29,RDP,9877,7861,1728259200000
211.227.16.42/12,219.54.239.83/4,RDP,5522,3058,1728259200000
12.247.253.42/21,84.58.190.116/14,DHCP,285,8259,1728259200000
109.56.3.46/16,223.91.228.129/16,ARP,6135,4182,1728259200000
247.131.73.12/10,208.57.36.94/22,RDP,11619,11274,1728259200000
48.117.3.142/9,168.170.47.200/13,SMB,7916,5980,1728259200000
221.140.43.213/14,210.58.173.145/12,GTP,10918,9157,1728259200000
101.22.17.26/11,254.222.220.69/19,SSH,7407,7178,1728259200000
45.27.141.30/27,17.216.77.193/13,SSH,786,1937,1728259200000
238.64.39.112/19,250.237.17.117/6,IMAP,11932,7068,1728259200000
190.193.252.10/31,144.198.96.25/1,CIFS,9531,4092,1728259200000
60.216.74.153/9,88.49.152.242/31,EIGRP,314,1003,1728259200000
62.44.178.6/24,168.217.35.146/18,STP,12121,9311,1728259200000
45.81.113.253/27,209.82.148.41/16,HTTPS,11918,11523,1728259200000
209.213.57.185/24,237.190.4.235/27,FTP,7137,414,1728259200000
130.202.114.252/4,195.104.25.26/26,HTTP,9241,3819,1728259200000
48.236.202.112/6,175.219.194.71/6,OSPF,1465,11860,1728259200000
173.251.220.5/17,208.84.229.195/27,DHCP,9328,6625,1728259200000
226.25.128.51/21,184.210.150.66/30,LDAP,9686,5235,1728259200000
130.162.142.55/27,137.94.247.125/29,Telnet,11805,8838,1728259200000
1.169.196.89/23,150.236.117.220/18,HTTPS,4106,588,1728259200000
219.234.59.39/10,224.57.88.45/23,TCP,10496,6667,1728259200000
166.208.171.24/21,6.136.110.226/8,OSPF,2788,9490,1728259200000
121.161.19.162/12,107.142.253.247/3,SCTP,6312,1083,1728259200000
119.204.75.106/22,20.139.239.116/23,RIP,11046,14,1728259200000
17.177.252.252/14,26.147.148.154/27,HTTPS,5513,11381,1728259200000
0.126.64.123/31,34.121.33.221/16,OSPF,1474,6766,1728259200000
34.80.105.176/11,177.25.35.95/22,CIFS,1667,873,1728259200000
108.172.240.23/29,1.101.152.173/15,SMB,3260,3393,1728259200000
156.181.7.132/15,219.206.44.231/22,IS-IS,27,12755,1728259200000
218.131.156.166/2,66.174.218.90/2,HTTP,3075,896,1728259200000
229.37.251.128/27,227.69.92.183/13,EIGRP,12306,3284,1728259200000
80.212.208.226/25,139.207.210.63/13,FTP,13585,7867,1728259200000
213.236.44.201/19,15.31.85.100/7,L2TP,3428,4152,1728259200000
38.64.210.246/7,27.74.114.140/31,SMB,5566,6913,1728259200000
19.233.27.98/4,186.90.242.114/12,ICMP,4941,7212,1728259200000
109.119.113.171/19,212.200.36.242/17,BGP,3319,14876,1728259200000
174.198.59.121/12,122.142.239.1/18,HTTPS,4736,4752,1728259200000
220.145.93.84/24,198.204.68.223/12,SMTP,6243,8075,1728259200000
135.139.123.187/11,41.57.221.99/12,IMAP,14569,10853,1728259200000
103.246.39.235/9,139.160.220.124/8,IGMP,2827,13642,1728259200000
95.246.11.154/12,210.160.47.12/12,DHCP,11574,12911,1728259200000
254.63.120.202/18,221.147.219.247/8,RDP,2689,10847,1728259200000
103.14.166.209/14,170.135.104.187/30,AH,4679,9703,1728259200000
10.8.97.0/25,230.15.7.71/17,VTP,10852,5332,1728259200000
170.19.136.65/12,124.20.222.174/30,AH,14033,6532,1728259200000
63.17.221.1/18,70.84.1.17/24,TCP,13763,9881,1728259200000
173.92.8.227/27,243.204.73.146/22,RTP,1809,3400,1728259200000
178.39.88.66/30,48.53.239.83/5,RSVP,13328,14701,1728259200000
246.129.216.172/30,76.2.46.126/2,TCP,5256,14910,1728259200000
251.147.120.125/3,22.9.78.251/14,RSVP,2766,8394,1728259200000
239.27.190.122/29,191.189.13.117/2,PPTP,13042,7667,1728259200000
63.155.139.143/27,129.150.29.241/10,STP,7079,13413,1728259200000
231.48.79.72/7,185.25.208.31/17,VTP,838,12609,1728259200000
87.64.181.196/23,23.73.72.184/11,SSH,1091,4419,1728259200000
47.76.38.221/18,58.17.175.5/7,PPP,4549,14650,1728259200000
89.247.77.131/9,65.130.14.251/14,VRRP,9318,9406,1728259200000
242.83.218.0/7,110.111.4.160/4,RTSP,7476,8497,1728259200000
245.150.10.154/21,179.99.224.147/24,HDLC,1839,5388,1728259200000
87.50.59.8/23,140.27.57.124/31,SIP,5142,5721,1728259200000
172.101.123.46/5,137.191.253.231/18,CIFS,10016,499,1728259200000
71.25.176.16/2,138.210.75.11/16,SCTP,12098,5787,1728259200000
121.72.238.234/24,194.251.52.231/1,RIP,2235,13377,1728259200000
147.29.105.98/2,18.7.183.247/30,AH,12099,3616,1728259200000
119.34.188.85/22,3.110.197.91/21,HTTPS,2436,11280,1728259200000
142.211.196.227/24,170.192.170.53/3,GTP,997,8687,1728259200000
187.66.41.27/21,28.46.186.197/5,POP3,13874,13397,1728259200000
226.89.175.230/22,115.50.49.0/28,SIP,6034,3205,1728259200000
72.229.104.166/11,51.78.103.242/31,GRE,2846,11449,1728259200000
61.107.168.234/23,17.225.7.168/17,HDLC,8122,1988,1728259200000
174.79.228.252/22,136.200.217.121/19,OSPF,10770,712,1728259200000
190.24.123.189/1,145.236.230.166/21,MPLS,11426,7494,1728259200000
167.21.158.193/15,72.224.153.230/20,POP3,12771,6719,1728259200000
64.68.162.249/24,102.187.220.69/20,NDP,4515,10272,1728259200000
77.254.168.135/13,109.219.169.145/7,CIFS,9279,9522,1728259200000
185.194.225.81/24,48.26.22.144/20,ESP,10192,6968,1728259200000
169.149.149.223/22,182.73.218.104/20,HTTP,8789,13810,1728259200000
184.217.48.2/3,46.158.96.33/28,L2TP,2781,10792,1728259200000
63.13.240.25/7,166.72.196.237/10,SMTP,4524,6199,1728259200000
174.103.176.47/12,146.176.205.151/12,NFS,1070,4577,1728259200000
79.81.145.86/21,234.7.79.140/22,IMAP,8595,14941,1728259200000
46.6.183.184/10,59.209.255.118/16,HDLC,11454,1279,1728259200000
20.47.113.215/9,8.206.214.98/31,IS-IS,9126,8227,1728259200000
129.138.23.245/18,182.60.185.180/28,AH,5807,1194,1728259200000
110.78.198.135/30,254.180.91.183/30,RSVP,9525,4164,1728259200000
175.13.200.232/15,114.45.28.164/30,FTP,1173,12111,1728259200000
130.123.237.49/29,218.154.147.154/9,PPP,14298,11352,1728259200000
100.36.142.207/17,214.22.207.72/28,RSVP,7376,167,1728259200000
135.134.23.151/27,85.84.97.52/24,RDP,768,723,1728259200000
201.25.18.253/3,147.17.212.64/25,RTSP,4739,11792,1728259200000
192.48.243.166/29,157.156.111.111/20,IMAP,3846,12082,1728259200000
139.0.198.185/21,94.115.68.186/18,SNMP,4328,9094,1728259200000
190.37.131.13/2,145.45.121.222/29,PIM,4690,5280,1728259200000
246.131.106.221/19,249.229.130.30/20,RTSP,3580,6403,1728259200000
187.158.87.224/25,248.186.41.158/7,NFS,3946,13017,1728259200000
97.17.58.140/26,104.207.181.175/28,SSH,1218,8501,1728259200000
216.62.159.189/7,100.130.163.209/10,PIM,4465,10988,1728259200000
132.214.230.160/31,165.105.66.243/29,PPTP,11669,7744,1728259200000
154.226.223.84/11,172.108.177.55/17,RDP,3280,1949,1728259200000
110.161.28.133/9,123.71.206.179/27,CDP,6019,12306,1728259200000
18.75.226.160/19,132.213.239.153/11,MPLS,12734,7741,1728259200000
252.13.251.151/13,128.166.186.213/26,BGP,2669,8837,1728259200000
19.203.194.165/5,239.82.114.155/23,RSVP,6019,7128,1728259200000
247.150.89.100/6,193.249.255.220/29,FTP,11559,9080,1728259200000
129.90.79.14/12,106.57.105.80/13,IGMP,2410,11799,1728259200000
90.13.96.213/16,26.122.42.220/31,L2TP,7381,13668,1728259200000
12.179.197.162/8,119.191.183.73/18,BGP,11322,8774,1728259200000
249.69.67.235/8,115.114.118.245/21,ICMP,9805,827,1728259200000
62.223.225.138/13,100.244.14.250/9,AH,12306,11547,1728259200000
151.176.246.233/31,234.15.76.84/9,GRE,10325,668,1728259200000
74.206.56.132/14,234.234.244.225/31,BGP,40,727,1728259200000
249.40.82.82/5,53.96.189.17/5,VRRP,6304,3016,1728259200000
165.164.148.179/22,46.13.146.201/6,CIFS,4115,4951,1728259200000
243.97.141.87/10,255.129.238.170/9,BGP,6787,7719,1728259200000
163.21.167.230/3,3.162.100.44/27,ESP,9293,10491,1728259200000
117.155.92.5/13,196.69.99.69/16,PIM,14274,2036,1728259200000
112.192.75.252/18,230.87.170.98/9,BGP,13881,9875,1728259200000
14.56.220.184/16,40.77.144.143/8,HTTPS,4588,5991,1728259200000
10.19.0.212/20,170.52.195.11/6,RTP,12992,843,1728259200000
93.22.23.4/31,172.186.76.209/26,PPTP,958,10026,1728259200000
51.84.212.202/16,55.87.139.149/13,BGP,10325,7396,1728259200000
116.202.127.49/23,50.223.248.226/15,VTP,3393,11093,1728259200000
249.105.199.104/11,174.6.219.77/4,SSH,5326,12901,1728259200000
173.181.194.194/22,238.67.4.27/8,BGP,765,12541,1728259200000
179.82.222.200/27,111.30.205.247/3,PPTP,5088,7005,1728259200000
107.108.28.124/24,167.115.82.176/22,HDLC,4050,411,1728259200000
174.216.121.106/14,34.133.83.38/5,OSPF,6551,90,1728259200000
165.58.142.250/10,144.82.43.110/15,DNS,9031,730,1728259200000
229.57.101.173/4,143.37.131.177/10,DHCP,4859,14110,1728259200000
155.28.113.243/31,155.7.23.255/14,NFS,5748,5718,1728259200000
32.67.58.223/24,90.78.254.161/17,DHCP,11582,2453,1728259200000
83.106.52.177/3,37.154.162.133/1,UDP,7651,4580,1728259200000
209.6.6.168/11,197.143.109.199/29,LDP,7336,10513,1728259200000
208.28.159.86/22,242.51.64.60/27,LDP,12169,392,1728259200000
59.36.7.205/16,179.188.149.30/5,GRE,13640,12254,1728259200000
143.126.148.201/20,22.158.148.10/19,DCCP,2257,8416,1728259200000
42.3.105.252/29,133.182.73.181/17,SNMP,12498,11190,1728259200000
87.250.241.248/11,199.188.253.231/3,CDP,4736,12629,1728259200000
219.87.23.146/25,206.99.119.50/12,TFTP,404,5077,1728259200000
64.23.70.200/24,122.26.162.25/12,DCCP,14568,7369,1728259200000
201.142.208.136/11,21.65.167.215/18,POP3,6382,13184,1728259200000
190.218.59.179/27,121.96.233.219/5,SMTP,1331,8415,1728259200000
236.2.66.201/29,27.91.108.190/30,GRE,14523,4999,1728259200000
129.23.42.134/23,8.82.98.107/3,ARP,879,12693,1728259200000
2.159.2.17/27,186.136.93.36/2,POP3,13274,12981,1728259200000
120.240.191.230/20,221.49.7.58/23,VRRP,9505,12280,1728259200000
133.246.237.176/25,77.74.205.136/11,HDLC,11368,3221,1728259200000
166.192.171.206/21,136.132.205.158/30,GRE,9338,10617,1728259200000
222.61.48.228/1,8.105.174.120/3,PPTP,4098,7460,1728259200000
234.222.136.0/5,232.59.241.185/25,ESP,4916,14543,1728259200000
237.205.30.127/4,105.23.118.165/28,HSRP,4759,8094,1728259200000
9.201.130.253/3,120.84.82.181/30,DCCP,6675,8811,1728259200000
34.183.129.142/27,222.212.15.189/11,LLDP,3426,8769,1728259200000
75.86.0.20/18,250.141.177.45/2,RTP,883,54,1728259200000
235.111.34.134/20,66.142.178.244/30,LDP,7289,5151,1728259200000
132.137.236.122/18,74.240.212.33/3,TCP,12716,10913,1728259200000
218.208.36.75/3,25.111.173.164/6,HTTP,5581,14406,1728259200000
255.230.196.230/12,85.202.64.254/17,VTP,7863,7321,1728259200000
236.163.232.1/15,69.94.159.57/16,POP3,1407,2130,1728259200000
35.236.18.4/31,122.229.138.150/26,SNMP,6165,7586,1728259200000
196.199.125.8/1,45.87.50.132/23,VTP,11666,12887,1728259200000
40.176.184.131/16,226.147.174.160/8,HTTP,13651,3822,1728259200000
8.216.13.130/14,179.122.36.77/5,OSPF,10282,11841,1728259200000
197.8.207.43/10,179.137.154.210/14,ESP,14107,11202,1728259200000
236.40.147.131/10,240.238.163.1/26,LDAP,2809,413,1728259200000
230.28.125.32/26,53.204.81.196/30,RSVP,9236,766,1728259200000
68.50.237.55/6,6.87.125.133/31,HDLC,5809,353,1728259200000
63.88.214.49/5,160.88.86.200/28,TCP,4080,8419,1728259200000
92.125.208.150/25,186.227.219.36/16,VRRP,14075,1152,1728259200000
187.174.15.20/19,203.96.61.177/17,RDP,7274,3219,1728259200000
59.157.56.201/24,212.30.220.123/8,ESP,14269,9166,1728259200000
64.86.73.170/16,240.135.224.215/10,CIFS,5598,2503,1728259200000
233.9.164.7/2,141.80.219.174/5,SNMP,6931,6457,1728259200000
55.84.15.250/27,166.41.245.97/9,SCTP,3766,9477,1728259200000
190.104.70.50/3,130.83.114.205/29,RTSP,3984,13552,1728259200000
144.160.54.179/10,94.106.226.254/13,HDLC,9611,2438,1728259200000
72.240.40.125/28,217.99.153.229/15,MPLS,9333,10529,1728259200000
112.49.82.246/31,232.147.246.163/12,GTP,1909,9295,1728259200000
55.111.222.153/3,70.119.38.247/15,HTTPS,12358,8399,1728259200000
229.52.34.83/16,217.229.103.255/3,PPP,140,4486,1728259200000
196.132.68.14/18,172.161.160.46/10,SSH,10287,1950,1728259200000
202.40.75.242/14,34.52.12.212/20,OSPF,7501,6994,1728259200000
26.162.171.82/15,77.161.2.147/4,SSH,202,5204,1728259200000
144.102.24.78/18,27.60.38.198/24,VRRP,2573,1190,1728259200000
230.158.192.143/18,193.15.226.155/21,ESP,10137,12641,1728259200000
69.163.241.132/26,83.102.46.78/14,SIP,11691,6242,1728259200000
229.38.114.198/7,239.236.31.38/22,LDP,9604,10910,1728259200000
117.40.167.47/30,177.162.19.0/18,EIGRP,4206,12630,1728259200000
96.217.75.248/14,136.90.176.129/7,RTSP,3471,11082,1728259200000
183.14.67.1/27,4.216.101.228/1,LDAP,1866,1415,1728259200000
161.193.215.15/2,68.86.140.167/11,HTTP,8352,2739,1728259200000
51.237.219.164/5,190.56.43.3/27,Telnet,3657,14490,1728259200000
135.37.144.235/29,8.173.145.19/6,ARP,1054,5763,1728259200000
8.130.153.107/25,208.108.45.127/5,STP,990,2235,1728259200000
173.66.96.112/14,126.58.129.73/8,NDP,14535,552,1728259200000
241.78.190.158/21,97.232.86.0/11,HTTPS,11616,3685,1728259200000
157.200.132.141/15,254.70.235.205/2,OSPF,7535,11816,1728259200000
84.128.21.95/19,164.46.224.50/22,EIGRP,8686,11869,1728259200000
29.110.13.15/10,117.103.246.18/29,SSH,12668,13706,1728259200000
131.122.160.66/14,161.183.203.192/12,SCTP,195,13906,1728259200000
111.212.27.135/11,52.217.4.252/12,FTP,1733,10383,1728259200000
66.92.26.51/5,12.42.114.164/22,NFS,13229,1887,1728259200000
101.149.136.70/4,96.145.170.116/10,RSVP,2666,824,1728259200000
219.110.104.231/24,192.47.153.64/3,IP-in-IP,7409,10640,1728259200000
225.141.97.214/17,126.54.26.232/17,IP-in-IP,4049,7145,1728259200000
129.60.200.239/19,26.196.157.222/5,STP,11290,13101,1728259200000
41.58.139.177/19,227.97.159.55/2,CDP,3210,1199,1728259200000
109.201.196.187/14,2.97.212.21/16,PIM,6870,12755,1728259200000
197.112.59.143/2,202.247.0.203/1,DCCP,7232,8794,1728259200000
139.94.218.6/12,221.147.181.175/26,SNMP,12962,3783,1728259200000
188.38.247.208/2,20.98.178.52/23,LDAP,11884,7522,1728259200000
42.139.192.100/28,129.83.174.62/2,RSVP,7114,1764,1728259200000
29.252.129.103/15,189.117.27.72/8,RDP,11892,9027,1728259200000
170.132.49.81/28,254.124.254.237/2,SMB,1034,5425,1728259200000
255.37.34.74/28,63.134.203.136/26,IMAP,2886,1248,1728259200000
196.195.20.0/3,33.169.248.35/3,PPTP,2036,4419,1728259200000
93.148.113.117/19,190.44.79.6/20,HSRP,1565,1364,1728259200000
102.137.108.162/16,84.231.10.81/18,STP,14558,2928,1728259200000
25.236.77.243/23,84.226.175.56/6,IP-in-IP,7357,13457,1728259200000
51.127.128.136/25,124.239.91.173/30,SMTP,5142,11563,1728259200000
70.148.170.150/8,63.209.136.205/18,TCP,12423,3222,1728259200000
112.0.172.91/13,139.204.253.253/14,SNMP,10456,4485,1728259200000
231.59.146.190/1,4.33.172.209/25,HTTPS,565,8758,1728259200000
139.147.209.161/27,13.94.130.67/27,RSVP,7073,1516,1728259200000
57.216.165.169/27,1.219.85.35/4,LDAP,11034,660,1728259200000
5.188.165.178/6,246.16.10.128/25,TFTP,3763,8669,1728259200000
55.142.171.42/9,172.23.111.176/28,DNS,1469,12319,1728259200000
142.105.201.70/29,54.15.92.38/21,HTTPS,7482,8981,1728259200000
197.49.150.87/21,216.151.149.123/16,FTP,646,13386,1728259200000
150.199.138.190/8,178.113.159.80/28,LDAP,4119,9465,1728259200000
246.238.5.26/17,210.208.108.62/31,IP-in-IP,2006,6373,1728259200000
97.77.128.3/29,39.43.74.237/4,EIGRP,1543,10824,1728259200000
240.135.73.87/15,117.121.226.247/21,RDP,7246,2320,1728259200000
238.166.88.178/26,226.104.184.18/18,TCP,5876,434,1728259200000
185.166.241.129/14,147.81.115.207/30,IGMP,247,4840,1728259200000
138.83.254.106/28,58.246.150.229/31,NFS,4367,3483,1728259200000
34.32.152.190/28,248.209.90.215/9,SCTP,7750,10900,1728259200000
92.145.154.192/3,70.250.142.144/23,TFTP,3113,14971,1728259200000
206.73.113.1/23,171.94.147.249/4,SCTP,1908,9886,1728259200000
67.109.131.4/15,178.1.162.65/13,SIP,11912,10258,1728259200000
73.176.157.200/2,242.173.139.147/9,HTTPS,4904,13205,1728259200000
244.146.211.61/25,100.11.53.87/8,STP,10465,1529,1728259200000
15.163.204.67/9,32.151.92.251/26,ESP,5256,7351,1728259200000
100.108.238.79/16,47.80.186.221/7,STP,2392,5857,1728259200000
